RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-05-31,2022-07-31,2023-04-30
394798,76,"Little Rock, AR",Msa,AR,2022-04-30,1.2,4.0,7.5
395134,77,"Stockton, CA",Msa,CA,2022-04-30,2.2,6.1,13.8
394457,78,"Charleston, SC",Msa,SC,2022-04-30,2.0,6.8,15.2
395143,79,"Syracuse, NY",Msa,NY,2022-04-30,1.5,4.5,9.4
394484,80,"Colorado Springs, CO",Msa,CO,2022-04-30,1.7,5.4,14.4
395235,81,"Winston-Salem, NC",Msa,NC,2022-04-30,1.9,5.5,12.7
395224,82,"Wichita, KS",Msa,KS,2022-04-30,1.2,3.9,8.4
395115,83,"Springfield, MA",Msa,MA,2022-04-30,1.5,4.7,9.9
394440,84,"Fort Myers, FL",Msa,FL,2022-04-30,3.6,10.2,21.5
394399,85,"Boise City, ID",Msa,ID,2022-04-30,0.4,4.1,14.7
395160,86,"Toledo, OH",Msa,OH,2022-04-30,1.1,4.0,9.1
394816,87,"Madison, WI",Msa,WI,2022-04-30,1.3,4.0,9.1
394766,88,"Lakeland, FL",Msa,FL,2022-04-30,2.6,7.6,17.9
394931,89,"Ogden, UT",Msa,UT,2022-04-30,1.7,5.6,15.5
394528,90,"Daytona Beach, FL",Msa,FL,2022-04-30,2.6,8.2,18.9
394531,91,"Des Moines, IA",Msa,IA,2022-04-30,1.0,3.7,7.7
394711,92,"Jackson, MS",Msa,MS,2022-04-30,1.4,4.2,8.4
395245,93,"Youngstown, OH",Msa,OH,2022-04-30,1.5,5.2,11.8
394352,94,"Augusta, GA",Msa,GA,2022-04-30,1.2,4.2,10.1
395075,95,"Scranton, PA",Msa,PA,2022-04-30,1.5,5.3,13.2
394666,96,"Harrisburg, PA",Msa,PA,2022-04-30,1.1,3.7,8.0
394957,97,"Melbourne, FL",Msa,FL,2022-04-30,2.8,8.3,18.0
394460,98,"Chattanooga, TN",Msa,TN,2022-04-30,1.8,5.6,13.3
395113,99,"Spokane, WA",Msa,WA,2022-04-30,1.6,5.3,16.1
395006,100,"Provo, UT",Msa,UT,2022-04-30,2.2,7.5,17.2
394768,101,"Lancaster, PA",Msa,PA,2022-04-30,1.4,4.7,10.3
394871,102,"Modesto, CA",Msa,CA,2022-04-30,1.2,4.7,12.1
394997,103,"Portland, ME",Msa,ME,2022-04-30,1.7,5.1,12.6
394549,104,"Durham, NC",Msa,NC,2022-04-30,2.5,6.7,14.1
395068,105,"Santa Rosa, CA",Msa,CA,2022-04-30,1.8,5.0,9.4
394792,106,"Lexington, KY",Msa,KY,2022-04-30,1.6,4.4,9.7
394761,107,"Lafayette, LA",Msa,LA,2022-04-30,0.9,3.2,5.8
394770,108,"Lansing, MI",Msa,MI,2022-04-30,1.0,3.8,8.7
394590,109,"Fayetteville, AR",Msa,AR,2022-04-30,2.1,6.5,15.1
394971,110,"Pensacola, FL",Msa,FL,2022-04-30,1.9,6.0,15.2
395195,111,"Visalia, CA",Msa,CA,2022-04-30,2.0,5.9,13.7
395096,112,"Shreveport, LA",Msa,LA,2022-04-30,0.6,2.5,2.9
395116,113,"Springfield, MO",Msa,MO,2022-04-30,1.7,4.9,12.2
395244,114,"York, PA",Msa,PA,2022-04-30,1.8,4.5,9.4
394502,115,"Corpus Christi, TX",Msa,TX,2022-04-30,1.1,3.5,7.4
394596,116,"Flint, MI",Msa,MI,2022-04-30,1.0,3.8,11.1
395019,117,"Reno, NV",Msa,NV,2022-04-30,1.5,4.7,12.4
394338,118,"Asheville, NC",Msa,NC,2022-04-30,1.8,5.8,13.7
394995,119,"Port St. Lucie, FL",Msa,FL,2022-04-30,3.0,8.9,19.3
753917,120,"Santa Maria-Santa Barbara, CA",Msa,CA,2022-04-30,2.1,6.8,14.5
394698,121,"Huntsville, AL",Msa,AL,2022-04-30,1.9,6.1,14.6
394612,122,"Fort Wayne, IN",Msa,IN,2022-04-30,1.8,5.4,12.3
395050,123,"Salinas, CA",Msa,CA,2022-04-30,1.7,5.3,12.0
395183,124,"Vallejo, CA",Msa,CA,2022-04-30,1.0,3.9,9.9
394870,125,"Mobile, AL",Msa,AL,2022-04-30,1.4,4.7,11.1
395015,126,"Reading, PA",Msa,PA,2022-04-30,1.3,4.2,10.2
394421,127,"Brownsville, TX",Msa,TX,2022-04-30,1.9,5.5,12.9
394746,128,"Killeen, TX",Msa,TX,2022-04-30,2.2,6.6,15.7
394439,129,"Canton, OH",Msa,OH,2022-04-30,1.1,3.7,9.0
394372,130,"Beaumont, TX",Msa,TX,2022-04-30,0.8,3.0,6.0
394820,131,"Manchester, NH",Msa,NH,2022-04-30,1.4,4.3,11.3
395048,132,"Salem, OR",Msa,OR,2022-04-30,1.5,4.9,12.0
394327,133,"Anchorage, AK",Msa,AK,2022-04-30,1.8,5.1,5.7
394520,134,"Davenport, IL",Msa,IL,2022-04-30,0.9,3.1,5.9
394972,135,"Peoria, IL",Msa,IL,2022-04-30,0.8,2.9,4.8
394898,136,"Myrtle Beach, SC",Msa,SC,2022-04-30,2.3,5.9,13.1
394875,137,"Montgomery, AL",Msa,AL,2022-04-30,1.5,4.4,8.9
395051,138,"Salisbury, MD",Msa,DE,2022-04-30,1.3,3.5,8.3
394658,139,"Gulfport, MS",Msa,MS,2022-04-30,1.6,5.4,11.6
395146,140,"Tallahassee, FL",Msa,FL,2022-04-30,1.4,4.3,9.7
395164,141,"Trenton, NJ",Msa,NJ,2022-04-30,2.3,6.0,11.0
394589,142,"Fayetteville, NC",Msa,NC,2022-04-30,1.7,5.2,10.9
394679,143,"Hickory, NC",Msa,NC,2022-04-30,1.4,5.2,13.7
394697,144,"Huntington, WV",Msa,WV,2022-04-30,0.6,2.6,5.6
394576,145,"Eugene, OR",Msa,OR,2022-04-30,1.2,4.3,11.8
395033,146,"Rockford, IL",Msa,IL,2022-04-30,1.1,4.6,10.3
395070,147,"Savannah, GA",Msa,GA,2022-04-30,1.9,6.7,15.7
394332,148,"Ann Arbor, MI",Msa,MI,2022-04-30,1.5,4.4,8.8
394927,149,"Ocala, FL",Msa,FL,2022-04-30,2.7,7.7,17.8
394732,150,"Kalamazoo, MI",Msa,MI,2022-04-30,0.7,2.7,7.4
394901,151,"Naples, FL",Msa,FL,2022-04-30,4.3,11.8,22.5
